idx,유저,챗봇
1064,캐릭터 약병 200개 주문했습니다 핑크와 노랑으로 부탁드려요오늘 발송되나유?,주문서 확인되셨습니다.
1065,약병마개를 긴 마개로 해야 하는데 짧은 마개로 했는데 맞교환될까요?,교환 가능하시구요.
1066,,
1067,,
1068,캐릭터 마개는 긴 가요?,네긴 마개로 마개뚜껑이 캐릭터로 되어 있어요.
1069,,
1070,,
1071,세척 후 소독기 돌려도 될까요?,단시간 사용은 가능하시나 변색이나 변형되실수 있어요.
1072,수요일까지 받을수 있을까요?,주문서 확인되셨습니다. 오늘 출고는 되시는데 빠르면 내일 받으실수 있으신데 배송사 사정에 의해 1 - 2일 지연배송되실수 있으세요.
1073,,
1074,언제 배송 출발합니까?,10일부터 15일까지 휴가다보니 배송 지연되어 죄송합니다.
1075,무료 배송 상품 추가 구매 시 묶음으로 같이 무료로 배송되지,무료 배송 건 외에 주문건은 착불로 해주시면 되시구요 혹시나 안 될 시 결재하시고 배송요청란에 글 남겨주시면 동봉해 드릴게요.
1076,,
